학원명,주    소,총부지면적(㎡),교육생정원(명)
신진중동,경기 부천시 원미구 평천로 651,"108,310",165
국제,경기 광주시 오포읍 신현로 55-10,"8,655",128
상록수,경기 화성시 비봉면 하저자안로 207,"14,648",192
유환,경기 군포시 경수대로 453,"13,120",150
(주)부천,경기 부천시 오정구 성오로 157,"6,657",224
명학,경기 안양시 만안구 덕천로48번길 71,"21,795",180
신천,경기 시흥시 소래산길 69,"8,781",144
e현대,경기 시흥시 서해안로 584-1,"9,995",160
한솔,경기 화성시 고향의봄길 36,"14,237",120
(주)성남,경기 광주시 장지9길 140,"6,741",90
뉴현대,경기 안산시 단원구 영전로 76,"10,244",112
(주)하남21C,경기 광주시 회안대로 982,"12,891",140
(주)안산대일,경기 안산시 단원구 원포공원로 45,"9,552",168
이천제일,경기 이천시 신둔면 원적로512번길 256-23,"11,467",160
21세기,경기 화성시 봉담읍 동화역말길 108,"9,718",32
한빛,경기 시흥시 봉화로 49,"8,647",169
단원,경기 안산시 단원구 대선로40-5,"14,439",112
평택,경기 평택시 가재길 70-40,"9,997",96
동일,경기도 남양주시 경춘로 679-14,"18,115",308
신광,경기도 동두천시 벌마들로40번길 24-9,"21,363",126
양원,경기도 남양주시 진접읍 경복대로샘말길 35-2,"16,104",210
한미,경기도 양주시 삼숭로129번길 11,"18,795",256
강북삼성,경기도 양주시 백석읍 꿈나무로 93,"6,790",96
우리,경기도 가평군 가평읍 태봉두밀로 34-71,"7,433",56
명문,경기도 고양시 일산서구 탄중로275번길 52-35,"12,346",240
엘씨,경기도 파주시 문산읍 우계로457번길 21,"10,037",56
신일,경기도 고양시 일산동구 성현로268번길 93,"9,829",120
동서울,경기도 남양주시 와부읍 수레로661번안길 25,"5,144",84
올리브,경기도 파주시 탄현면 장릉로 5-23,"14,212",252
그린,경기도 포천시 소흘읍 호국로 223-38,"11,635",224
뉴대성,경기도 고양시 일산동구 장대길 160-38,"9,900",196
뉴강남,경기도 가평군 설악면 신천중앙로28번길 3-132,"9,563",64
한수,경기도 파주시 교하로 507,"9,006",98
신원,경기도 고양시 일산서구 덕산로 167,"13,394",140
하예서부,경기도 파주시 파주읍 학당말길 141,"7,066",96
정다운파주,경기도 파주시 월롱면 정문로293번길 93,"13,740",160
자유로,경기도 파주시 범벅골길 60-6,"18,241",378
행운,경기도 포천시 신북면 중앙로 332-34,"8,317",48
북부신진,경기도 남양주시 진접읍 장현로147번길 6,"9,965",350
연천,경기도 연천군 연천읍 통현길 100,"6,647",64
북부중앙,경기도 양주시 화합로 1221,"11,057",160
시티,경기도 의정부시 신흥로 41,"19,970",56
대진,경기도 포천시 군내면 포천로909번길 31,"13,514",112
NEW강동,경기도 남양주시 진접읍 진건오남로 1048,"7,333",176
구리,경기도 남양주시 화도읍 창현로 10-62,"11,105",140
신제일,경기도 포천시 영북면 문암길 20-1,"9,746",84
원주,강원 원주시 학마을길 60,"11,032",60
영동,강원 강릉시 회산로408번길 4,"6,680",56
속초,강원 속초시 하도문길 5,"9,309",56
금성,강원 양양군 강현면 진미로54번길 63,"6,600",56
